login,logout,d1_q1,d1_q2,d1_q3,d2_q1,d2_q2,d2_q3,d3_q1,d3_q2,d3_q3,d4_q1,d4_q2,d4_q3,d5_q1,d5_q2,d5_q3,a_q1_t1,a_q1_t2,a_q2_t1,a_q2_t2,a_q3_t1,a_q3_t2,drop
5,5,10,10,10,10,10,7,10,10,7,10,10,7,10,10,7,10,10,7.6,10,10,7.6,no
5,5,10,10,10,10,7,7,10,7,7,7,10,7,7,10,7,8.8,8.8,7.6,8.8,8.8,7.6,no
5,5,10,5,7,10,7,5,7,5,5,2,5,5,10,5,5,7.8,5.4,5.4,7.8,5.4,5.4,no
5,5,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.4,10,10,9.4,no
5,5,10,5,5,10,7,5,10,5,5,10,5,5,10,5,5,10,5.4,5,10,5.4,5,no
5,4,0,0,0,10,7,7,10,7,7,10,7,7,10,7,7,10,7,7,8,5.6,5.6,no
5,5,10,10,7,10,10,7,10,10,7,10,10,10,10,10,10,10,10,8.2,10,10,8.2,no
5,5,10,10,7,10,10,7,10,10,5,7,10,7,10,10,7,9.4,10,6.6,9.4,10,6.6,no
5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,no
5,5,10,7,7,10,7,7,10,7,7,7,7,7,10,10,7,9.4,7.6,7,9.4,7.6,7,no
5,5,10,7,5,7,7,7,10,10,10,7,5,7,2,5,5,7.2,6.8,6.8,7.2,6.8,6.8,no
5,5,10,7,7,7,7,5,10,7,7,7,7,7,10,7,7,8.8,7,6.6,8.8,7,6.6,no
5,5,10,10,7,10,10,7,10,10,7,10,7,7,10,7,7,10,8.8,7,10,8.8,7,no
5,5,10,7,5,5,10,5,10,10,5,10,10,5,10,10,5,9,9.4,5,9,9.4,5,no
4,4,0,0,0,10,7,5,7,7,7,10,10,5,10,10,7,9.25,8.5,6,7.4,6.8,4.8,no
5,5,10,7,2,10,7,7,10,10,10,10,10,10,10,10,10,10,8.8,7.8,10,8.8,7.8,no
5,5,10,10,7,10,10,10,10,10,10,10,10,10,2,10,10,8.4,10,9.4,8.4,10,9.4,no
5,3,0,0,0,10,7,7,7,7,7,7,7,7,0,0,0,8,7,7,4.8,4.2,4.2,no
